headline,section,locations,word_count,snippet,source,subjects,url,desk,date,type,id,abstract
"If Pinochet Goes Home, an Official Welcome Won't Be Waiting",World,"[u'GREAT BRITAIN', u'CHILE']",566,"The Chilean government and armed forces have decided that there will be no official welcoming ceremony should Gen. Augusto Pinochet return to Chile in the coming days from London, where he has been under house arrest on human rights charges for 15...",The New York Times,"[u'BIOGRAPHICAL INFORMATION', u'CHILE-INTERNATIONAL RELATIONS-GREAT BRITAIN', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2000/01/23/world/if-pinochet-goes-home-an-official-welcome-won-t-be-waiting.html,Foreign Desk,23/1/2000,News,4fd21fbb8eb7c8105d7a30cf,"Chilean government and armed forces decide against welcoming ceremony for Gen Augusto Pinochet if he returns from Britain, where he has been under house arrest for past 15 months on human rights charges; government hopes to discourage strong reactions either by his supporters or detractors on his return (M)"
NEWS SUMMARY,New York and Region,[],1146,INTERNATIONAL   A3-13    U.S. Says Evidence Links Bin Laden With Algerians  American investigators have uncovered what they believe are links between a group of Algerians who have been charged with plotting a terrorist attack in the United States and...,The New York Times,[],http://www.nytimes.com/2000/01/27/nyregion/news-summary-545066.html,Metropolitan Desk,27/1/2000,Summary,4fd203338eb7c8105d768f2e,
"After Sex Case, Guards' Union Vows To Keep Men's Jobs in Women's Jail",New York and Region,[],812,"The day after sex abuse charges were brought against four Westchester County jail guards, their union said today that it would file suit to block the county's plan to stop using men to guard female inmates' living units.     But County Executive...",The New York Times,"[u'PRISONS AND PRISONERS', u'SEX CRIMES', u'DISCRIMINATION', u'SUITS AND CLAIMS AGAINST GOVERNMENT', u'WOMEN', u'GUARDS']",http://www.nytimes.com/2000/01/28/nyregion/after-sex-case-guards-union-vows-to-keep-men-s-jobs-in-women-s-jail.html,Metropolitan Desk,28/1/2000,News,4fd237788eb7c8105d7ca1a4,"Westchester Correction Officers Benevolent Association, day after sex abuse charges were brought against four guards at county jail, says it will file suit to block County Exec Andrew Spano's plan to stop using men to guard female inmates' living units; Spano and advocates for female inmates say change in jail policy will withstand any legal challenge; union lawyer Robert Goodstein says new policy will violate federal laws against sexual discrimination (M"
Aid to Colombia,Opinion,[u'COLOMBIA'],130,"To the Editor:    Re ''Colombian Asks Congress for Aid Not Tied to Human Rights'' (news article, Jan. 26): President Andres Pastrana says it is the policy of the Colombian government to respect human rights, yet the vast majority of Colombian...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'FOREIGN AID', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2000/01/29/opinion/l-aid-to-colombia-569178.html,Editorial Desk,29/1/2000,Letter,4fd233c28eb7c8105d7c4581,Letter from Paul Paz y Mino (Amnesty International USA) opposes US aid to Colombia until its government can brings human-rights violators to justice
Britain's High Court Supports Move to Release Pinochet,World,"[u'GREAT BRITAIN', u'BELGIUM', u'CHILE', u'SPAIN']",917,"A High Court judge issued a tough-worded judgment today supporting the British government's decision to release Gen. Augusto Pinochet and let him return home to Chile, but Belgium held up any final action by lodging an appeal against the ruling.   ...",The New York Times,"[u'EXTRADITION', u'BIOGRAPHICAL INFORMATION', u'CHILE-INTERNATIONAL RELATIONS-GREAT BRITAIN', u'GREAT BRITAIN-INTERNATIONAL RELATIONS-SPAIN', u'FREEDOM AND HUMAN RIGHTS', u'DECISIONS AND VERDICTS', u'TORTURE', u'CHILE-INTERNATIONAL RELATIONS-SPAIN']",http://www.nytimes.com/2000/02/01/world/britain-s-high-court-supports-move-to-release-pinochet.html,Foreign Desk,1/2/2000,News,4fd230c18eb7c8105d7bf378,"British High Court judge issues tough-worded decision to release former Chilean dictator Gen Augusto Pinochet and allow him to return to Chile; Judge Maurice Kay turns down appeals from six human rights groups and Belgian government contesting British government's findings that Pinochet is medically unfit to be extradited to Spain to stand trial on charges of torture, carried out during era of military rule of 1970's; Belgium lodges another appeal (M)"
"Globalization: If You Can't Beat It, Reshape It",Business,[],755,"WITH security agents toting submachine guns, army helicopters buzzing overhead and protesters breaking windows in yet another McDonald's, Davos man, the elite agent of global capitalism, is under siege.    It's not hard to reach that conclusion after...",The New York Times,"[u'INTERNATIONAL TRADE AND WORLD MARKET', u'ECONOMIC CONDITIONS AND TRENDS']",http://www.nytimes.com/2000/02/06/business/economic-view-globalization-if-you-can-t-beat-it-reshape-it.html,Money and Business/Financial Desk,6/2/2000,News,4fd203338eb7c8105d768efe,"Joseph Kahn Economic View column holds globalization itself is probably not threatened, despite defensiveness of participants in recent World Economic Forum; notes unions and environmentalists who assail World Trade Organization see globalization as inevitable, but do not want it limited to commerce; photo (M)"
CHAOS IN CONGO: A primer.; Many Armies Ravage Rich Land In the 'First World War' of Africa,World,"[u'UGANDA', u'CONGO (FORMERLY ZAIRE)', u'ZIMBABWE', u'ANGOLA', u'NAMIBIA', u'RWANDA']",4922,"Congo and the nine nations around it sit on what may be the richest patch of this planet: there are diamonds, oil, uranium, gold, plentiful water, fertile land and exquisite wildlife.     It is now also one of the biggest battlefields in Africa's...",The New York Times,"[u'INTERNATIONAL RELATIONS', u'SURVEYS AND SERIES', u'POLITICS AND GOVERNMENT', u'CIVIL WAR AND GUERRILLA WARFARE']",http://www.nytimes.com/2000/02/06/world/chaos-congo-primer-many-armies-ravage-rich-land-first-world-war-africa.html,Foreign Desk,6/2/2000,Special Report,4fd230c58eb7c8105d7bf4ed,"Conflict in Congo can be seen as 'Africa's first world war'; six outside states are fighting inside Congo alone, battling for bewildering number of reasons; some armies are allied with rebel groups to oust Pres Laurent Kabila; others are protecting him; some groups are fighting to overthrow governments in neighboring countries; nearly everyone carts off Congo's natural riches, which include diamonds, oil, uranium and gold; some experts argue that war in Congo is actually three wars: first is battle between Kabila and Congolese rebels fighting to overthrow him; second is ethnic war, primarily against Congolese Tutsi; third involves outside countries: Rwanda and Uganda on side of rebels, Zimbabwe, Angola and Namibia on Kabila's side; country by country look at wars; photos; maps (L)"
Pinochet Foes Are Granted An Appeal,World,"[u'GREAT BRITAIN', u'BELGIUM', u'CHILE', u'SPAIN']",517,Gen. Augusto Pinochet's hopes of being freed from house arrest and allowed to return home to Chile soon suffered a setback today when a British court said it would hear an appeal of Britain's decision that he was not medically fit to stand trial on...,The New York Times,"[u'EXTRADITION', u'POLITICS AND GOVERNMENT', u'CHILE-INTERNATIONAL RELATIONS-GREAT BRITAIN', u'FREEDOM AND HUMAN RIGHTS', u'TORTURE']",http://www.nytimes.com/2000/02/09/world/pinochet-foes-are-granted-an-appeal.html,Foreign Desk,9/2/2000,News,4fd2203d8eb7c8105d7a3cc9,Gen Augusto Pinochet's hopes of being freed from house arrest and allowed to return home to Chile suffer setback when British court says it will hear appeal of Britain's decision that he is not medically fit to stand trial on torture charges; six human rights groups and Belgium government are challenging Home Sec Jack Straw's refusal to make public examination of Pinochet in Jan by British doctors (M)
Fight Over a Chinese Prisoner Goes Public,World; Washington,[u'CHINA'],1080,"Frustrated after six months of fruitless inquiries to Chinese officials, American legislators are mounting a public campaign on behalf of a prominent Muslim businesswoman from China's Far West who was jailed on vague charges of revealing state...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'ESPIONAGE', u'POLITICS AND GOVERNMENT', u'CHINA-INTERNATIONAL RELATIONS-US', u'ISLAM']",http://www.nytimes.com/2000/02/10/world/fight-over-a-chinese-prisoner-goes-public.html,Foreign Desk,10/2/2000,News,4fd230338eb7c8105d7be6b1,"US legislators, frustrated after six months of fruitless inquiries to Chinese officials, are mounting public campaign on behalf of Rebiya Kadeer, prominent Muslim businesswoman from China's Far West, who was jailed on vague charges of revealing state intelligence to foreigners (M)"
NEWS SUMMARY,New York and Region,[],1028,INTERNATIONAL   A3-15    Couple Plead Guilty In Russia Laundering Case  A former executive of the Bank of New York and her husband told a federal judge that they had helped a group of small but politically connected Russian banks set up a...,The New York Times,[],http://www.nytimes.com/2000/02/17/nyregion/news-summary-867780.html,Metropolitan Desk,17/2/2000,Summary,4fd203358eb7c8105d769132,
NEWS SUMMARY,New York and Region,[],1074,"INTERNATIONAL   A3-11    China Threatens Taiwan On Reunification Issue  Beijing issued the bluntest warning yet that it would not wait indefinitely for Taiwan to reunite with the mainland, saying that if Taiwan, which is to hold presidential...",The New York Times,[],http://www.nytimes.com/2000/02/22/nyregion/news-summary-936502.html,Metropolitan Desk,22/2/2000,Summary,4fd220398eb7c8105d7a3b76,
U.N. Council Approves Congo Peace Mission,World,[u'CONGO (FORMERLY ZAIRE)'],722,"The Security Council voted unanimously today to send a heavily fortified peace monitoring mission to Congo, but delayed deploying it until the United Nations can be assured that the force will be safe and can operate effectively.    Richard C....",The New York Times,[u'CIVIL WAR AND GUERRILLA WARFARE'],http://www.nytimes.com/2000/02/25/world/un-council-approves-congo-peace-mission.html,Foreign Desk,25/2/2000,News,4fd233bf8eb7c8105d7c42d3,"UN Security Council votes unanimously to send heavily fortified peace monitoring mission to Congo, but delays deploying it until United Nations can be assured that force will be safe and can operate effectively; Richard C Holbrooke, American representative, and Andre Kapanga, delegate from Congo, welcome move as milestone in international efforts to end widening war; other diplomats are more cautious (M)"
An Execution in Texas,Opinion,[u'TEXAS'],146,"To the Editor:    Re ''Woman, 62, Put to Death in Texas'' (news article, Feb. 25): The execution of Betty Lou Beets underscores the barbarity of the death penalty. According to Amnesty International, Ms. Beets was a battered woman whose lifelong...",The New York Times,"[u'MURDERS AND ATTEMPTED MURDERS', u'CAPITAL PUNISHMENT', u'PRESIDENTIAL ELECTION OF 2000']",http://www.nytimes.com/2000/02/28/opinion/l-an-execution-in-texas-007005.html,Editorial Desk,28/2/2000,Letter,4fd237748eb7c8105d7c9e05,"Letter from Jessica Neuwirth, president, Equality Now, says execution in Texas of Betty Lou Beets underscores barbarity of death penalty and is not compatible with Gov George W Bush's self-characterization as 'compassionate' (S)"
"After 16 Months of House Arrest, Pinochet Quits England",World,"[u'GREAT BRITAIN', u'CHILE', u'SPAIN']",1088,Gen. Augusto Pinochet was allowed to fly home to Chile today after Britain dropped extradition proceedings against him and put an end to his 16 months of house arrest in England.     A Chilean military plane lifted off from Waddington Royal Air Force...,The New York Times,"[u'EXTRADITION', u'FREEDOM AND HUMAN RIGHTS', u'TORTURE']",http://www.nytimes.com/2000/03/03/world/after-16-months-of-house-arrest-pinochet-quits-england.html,Foreign Desk,3/3/2000,Chronology,4fd1f5938eb7c8105d74f88c,"Gen Augusto Pinochet is allowed to fly home to Chile after Britain drops extradition proceedings against him and puts an end to his 16 months of house arrest in England; Home Sec Jack Straw tells House of Commons that because of Pinochet's failing health, he is ending complex legal and judicial case in which four European nations had been seeking Pinochet's extradition; case reviewed; chronology of events during Pinochet's time in England; photo (M)"
"FREED BY BRITAIN, PINOCHET IS FACING A BATTLE AT HOME",World; Front Page,"[u'GREAT BRITAIN', u'CHILE']",1309,"Britain abruptly dropped extradition proceedings today against Gen. Augusto Pinochet, who then headed home to Chile where his political opponents were waiting, intent on making him face months, if not years, of additional court proceedings.    After...",The New York Times,"[u'EXTRADITION', u'POLITICS AND GOVERNMENT', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2000/03/03/world/freed-by-britain-pinochet-is-facing-a-battle-at-home.html,Foreign Desk,3/3/2000,News,4fd23b4f8eb7c8105d7d0540,"Britain abruptly drops extradition proceedings against Gen Augusto Pinochet, who then heads home to Chile where his political opponents are waiting, intent on making him face months, if not years, of additional court proceedings; after 16 months of house arrest in London, where he waited out legal twists and turns, Pinochet is told by Jack Straw, Britain's home secretary, that because of his failing health he does not have to stand trial on charges of gross human rights violations; case reviewed; photo (M)"
Colombia And Copters And Clash Over Choice,World; Washington,"[u'LATIN AMERICA', u'COLOMBIA']",1496,"For most of the last three years, Clinton administration officials battled tirelessly with Republicans in Congress over what might be the right helicopters for Colombia's fight against illegal drugs.    When the Republicans sought six top-of-the-line...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'COLOMBIA-INTERNATIONAL RELATIONS-US', u'FINANCES', u'HELICOPTERS', u'LOBBYING AND LOBBYISTS', u'ELECTIONS', u'DRUG ABUSE AND TRAFFIC', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2000/03/06/world/colombia-and-copters-and-clash-over-choice.html,Foreign Desk,6/3/2000,News,4fd237748eb7c8105d7c9dd9,"Proposal to sell American-made Blackhawk helicopters to Colombia for use in war against drugs draws attention to lobbying efforts of aircraft's manufacturer United Technologies, Connecticut-based conglomerate that is major military contractor and political contributor, and to political payoff for some of state's Democratic legislators; illuminates political dynamics of what would be Washington's first large-scale involvement in civil conflict in Latin America since cold war, initiative that has brought unlikely alliances on every side; photo (M)"
Prominent Chinese Muslim Secretly Sentenced to 8 Years,World; Washington,[u'CHINA'],628,"A prominent Muslim businesswoman in western China who was arrested last fall as she tried to meet with visiting Congressional staff members has been secretly sentenced to eight years in prison, her family said today.     The harsh sentence for Rebiya...",The New York Times,[u'UNITED STATES INTERNATIONAL RELATIONS'],http://www.nytimes.com/2000/03/11/world/prominent-chinese-muslim-secretly-sentenced-to-8-years.html,Foreign Desk,11/3/2000,News,4fd212c78eb7c8105d789518,"Rebiya Kadeer, prominent Muslim businesswoman in western China who was arrested last fall when she tried to meet with visiting Congressional staff members, is secretly sentenced to eight years in prison; harsh sentence for Kadeer, reported by her family, on charges of revealing state secrets abroad brings immediate condemnation from international rights monitors (M)"
Black Actors: Locked Down Or Locked Out,Movies; Arts,[],1102,"IT'S been nearly 40 years since the first time an African-American man won the best-actor Oscar. And in the long, parched stretch of desert since the night Sidney Poitier got the statuette for his 1963 starring role in ''Lilies of the Field,'' no...",The New York Times,"[u'MEN', u'MOTION PICTURES', u'ACADEMY AWARDS (OSCARS)', u'BLACKS', u'AWARDS, DECORATIONS AND HONORS']",http://www.nytimes.com/2000/03/19/movies/film-black-actors-locked-down-or-locked-out.html,Arts and Leisure Desk,19/3/2000,News,4fd230328eb7c8105d7be692,Elvis Mitchell column notes most of black male actors who have won Oscar nominations in recent years have done so for playing criminals; holds such roles offer actors chance to flash outlaw swagger that audiences have come to expect of black men in movies; photo (M)
Editorial Observer; Searching for Justice in Chile and Argentina,Opinion,"[u'GREAT BRITAIN', u'CHILE']",742,"Until 16 months ago, it appeared that Chile had come to terms with the crimes of the Pinochet years. The murders, torture and forced disappearances, most of which took place in the mid-1970's, had faded from public attention. Not much was happening...",The New York Times,"[u'BIOGRAPHICAL INFORMATION', u'CHILE-INTERNATIONAL RELATIONS-GREAT BRITAIN', u'FREEDOM AND HUMAN RIGHTS', u'CHILE-INTERNATIONAL RELATIONS-SPAIN']",http://www.nytimes.com/2000/03/21/opinion/editorial-observer-searching-for-justice-in-chile-and-argentina.html,Editorial Desk,21/3/2000,Editorial,4fd2203d8eb7c8105d7a3d46,"Tina Rosenberg's Editorial Observer column examines Chile's treatment of crimes committed during era of military rule of Gen Augusto Pinochet; says even though Pinochet was released from house arrest by Great Britain and will not stand trial in Spain, case has uncorked emotions bottled up out of fear for past quarter-century and may eventually force reckoning with abuses of past (M)"
WORLD BRIEFING,World,[],919,"EUROPE    FRANCE: NEW PROTESTS BY TEACHERS -- Tens of thousands of teachers marched through Paris to demand more spending on education and the resignation of Education Minister Claude Allegre. Similar demonstrations took place in Marseille, Toulouse...",The New York Times,[],http://www.nytimes.com/2000/03/25/world/world-briefing.html,Foreign Desk,25/3/2000,News,4fd205c98eb7c8105d76e4bb,
Saudi Arabia Bridles as Rights Group Charges Widespread Abuses,World,[u'SAUDI ARABIA'],442,"In a sharply worded report, Amnesty International today accused the government of Saudi Arabia of widespread human rights abuses, including arbitrary arrests, the torture of detainees and the barring of prisoner access to family members or lawyers.  ...",The New York Times,"[u'POLITICAL PRISONERS', u'FREEDOM AND HUMAN RIGHTS', u'TORTURE']",http://www.nytimes.com/2000/03/28/world/saudi-arabia-bridles-as-rights-group-charges-widespread-abuses.html,Foreign Desk,28/3/2000,News,4fd1f5928eb7c8105d74f7b6,"Amnesty International issues sharply worded report accusing government of Saudi Arabia of widespread human rights abuses, including arbitrary arrests, torture of detainees and barring of prisoner access to family members or lawyers; Saudi government emphatically rejects findings as biased and inaccurate (M)"
NEWS SUMMARY,New York and Region,[],1154,"INTERNATIONAL   A3-12    Russian President-Elect Presses for Economic Plan  Vladimir V. Putin, meeting with his cabinet on the day after his decisive electoral victory, said he wanted an economic program ready by the time he was sworn in and...",The New York Times,[],http://www.nytimes.com/2000/03/28/nyregion/news-summary-493570.html,Metropolitan Desk,28/3/2000,Summary,4fd1f5918eb7c8105d74f7b0,
"Charities See Web's Potential, but Are Finding It Hard to Afford",Technology; Health,[],1194,"BUSINESSES have discovered  the power of the Internet for  communicating with employees and customers quickly through e-mail or a Web site. Buying automobile parts, selling books or arranging vacations can also be done efficiently online. Nonprofit...",The New York Times,"[u'PHILANTHROPY', u'COMPUTERS AND THE INTERNET']",http://www.nytimes.com/2000/03/29/business/business-business-charities-see-web-s-potential-but-are-finding-it-hard-afford.html,E-Commerce,29/3/2000,News,4fd1f2b28eb7c8105d74a747,"Charitable organizations are lagging behind for-profit businesses in effectively establishing themselves on Internet, hampered by lack of resources and technological savvy; photos (M)"
Haitian Immigrants in U.S. Face a Wrenching Choice,Front Page; U.S.,[u'HAITI'],1854,"The choice lies in Esta Pierre's mind like a sliver of glass.    Ms. Pierre used a doctored passport to leave Haiti and enter the United States on Jan. 8, 1993, after her boyfriend was dragged from their house in Port-au-Prince by agents of the...",The New York Times,"[u'ILLEGAL ALIENS', u'FRAUDS AND SWINDLING', u'DEPORTATION', u'IMMIGRATION AND REFUGEES', u'CHILDREN AND YOUTH']",http://www.nytimes.com/2000/03/29/us/haitian-immigrants-in-us-face-a-wrenching-choice.html,National Desk,29/3/2000,News,4fd212fa8eb7c8105d789ce5,"Some 3,000 illegal Haitian immigrants who have had children in US face wrenching decision of whether to take them back to Haiti when they are deported or to leave them in US, where they are citizens, are growing up in with a new language and culture and can expect a better life; being parent of US citizen is not sufficient for a waiver when an immigrant enters US with a fraudulent passport; Esta and Jean Pierre, who entered US with a doctored passports and have two American-born children, illustrate the plight of these parents; photos (M)"
Russia Arrests Officer in Case Of the Killing Of a Chechen,World; Washington,"[u'RUSSIA', u'CHECHNYA (RUSSIA)']",620,"A Russian officer was charged today with killing a civilian in Chechnya, a rare move by the Russian military to crack down on human rights abuses.    The chief of the Russian General Staff, Gen. Anatoly Kvashnin, informed Acting President Vladimir V....",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'WAR CRIMES AND CRIMINALS', u'SEX CRIMES', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2000/03/30/world/russia-arrests-officer-in-case-of-the-killing-of-a-chechen.html,Foreign Desk,30/3/2000,News,4fd230398eb7c8105d7be9f3,"Russian officer is charged with killing civilian in Chechnya, in rare move by Russian military to crack down on human rights abuses; Gen Anatoly Kvashnin, chief of Russian General Staff, says Russian troops apologized to family of victim, a woman, and expressed regrets by attending her funeral; international human rights organizations have reported numerous cases in which Chechens have been robbed, beaten, killed and raped, but there has been little or no action until now by authorities to bring culprits to justice; Rachel Denber of Human Rights Watch calls for thorough investigation of massacres that have been documented; curbing rights abuses is important for Russia's effort to maintain smooth relations with West, and also for its longer-term effort to build credibility with Chechen people and win peace (M)"
World Briefing,World,[],917,"MIDDLE EAST    IRAN: TALIBAN FOE FLEES -- Iran's official news agency said Ismail Khan, the former governor of Herat Province in Afghanistan and a major figure in the opposition to the ruling Taliban, had crossed into Iran and reached the city of...",The New York Times,[],http://www.nytimes.com/2000/03/31/world/world-briefing.html,Foreign Desk,31/3/2000,News,4fd212f68eb7c8105d789959,
Foreign Conservationists Under Siege,Opinion,[],645,"Some of the world's most dedicated human rights activists have started as campaigners for the environment. Ken Saro-Wiwa's initial cause, for example, was the devastation that Royal Dutch/ Shell's oil spills inflicted on Ogoni land in Nigeria's ...",The New York Times,"[u'ENVIRONMENT', u'EDITORIALS', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2000/04/01/opinion/foreign-conservationists-under-siege.html,Editorial Desk,1/4/2000,Editorial,4fd230c98eb7c8105d7bf671,Editorial notes that some of world's most dedicated human rights activists started as campaigners for environment; says activists tend to emerge from same isolated communities that suffer most from pollution; notes Amnesty International and Sierra Club have begun joint campaign to draw attention to persecution of environmentalists
